================ Training Loss (Tue Mar 19 00:51:39 2024) ================
(epoch: 1, iters: 1600, time: 0.006, data: 0.316) D_A: 0.370 G_A: 1.047 cycle_A: 3.914 idt_A: 1.732 D_B: 0.594 G_B: 1.371 cycle_B: 3.539 idt_B: 1.907 
(epoch: 2, iters: 1344, time: 0.006, data: 0.001) D_A: 0.747 G_A: 1.340 cycle_A: 3.374 idt_A: 1.300 D_B: 0.452 G_B: 0.325 cycle_B: 3.205 idt_B: 1.628 
(epoch: 3, iters: 1088, time: 0.006, data: 0.001) D_A: 0.295 G_A: 1.021 cycle_A: 3.022 idt_A: 1.126 D_B: 0.443 G_B: 1.087 cycle_B: 2.347 idt_B: 1.473 
(epoch: 4, iters: 832, time: 0.006, data: 0.001) D_A: 0.370 G_A: 0.354 cycle_A: 3.278 idt_A: 1.217 D_B: 0.331 G_B: 0.570 cycle_B: 2.351 idt_B: 1.458 
(epoch: 5, iters: 576, time: 0.006, data: 0.001) D_A: 0.319 G_A: 0.291 cycle_A: 2.892 idt_A: 1.011 D_B: 0.471 G_B: 0.722 cycle_B: 1.991 idt_B: 1.292 
(epoch: 6, iters: 320, time: 0.006, data: 0.001) D_A: 0.230 G_A: 0.430 cycle_A: 2.663 idt_A: 0.948 D_B: 0.373 G_B: 0.554 cycle_B: 1.920 idt_B: 1.272 
(epoch: 7, iters: 64, time: 0.005, data: 0.002) D_A: 0.340 G_A: 0.967 cycle_A: 2.625 idt_A: 0.765 D_B: 0.272 G_B: 0.376 cycle_B: 1.710 idt_B: 1.280 
(epoch: 7, iters: 1664, time: 0.006, data: 0.001) D_A: 0.196 G_A: 0.653 cycle_A: 2.481 idt_A: 0.746 D_B: 0.312 G_B: 0.296 cycle_B: 1.637 idt_B: 1.209 
(epoch: 8, iters: 1408, time: 0.006, data: 0.001) D_A: 0.177 G_A: 0.643 cycle_A: 2.450 idt_A: 0.768 D_B: 0.355 G_B: 0.614 cycle_B: 1.609 idt_B: 1.141 
(epoch: 9, iters: 1152, time: 0.006, data: 0.001) D_A: 0.321 G_A: 0.651 cycle_A: 2.417 idt_A: 0.714 D_B: 0.217 G_B: 0.525 cycle_B: 1.487 idt_B: 1.088 
(epoch: 10, iters: 896, time: 0.006, data: 0.001) D_A: 0.236 G_A: 0.586 cycle_A: 2.311 idt_A: 0.816 D_B: 0.336 G_B: 0.634 cycle_B: 1.811 idt_B: 1.067 
(epoch: 11, iters: 640, time: 0.006, data: 0.001) D_A: 0.236 G_A: 0.869 cycle_A: 2.268 idt_A: 0.699 D_B: 0.259 G_B: 0.454 cycle_B: 1.448 idt_B: 1.067 
(epoch: 12, iters: 384, time: 0.006, data: 0.001) D_A: 0.281 G_A: 0.927 cycle_A: 2.314 idt_A: 0.694 D_B: 0.259 G_B: 0.466 cycle_B: 1.430 idt_B: 1.063 
