================ Training Loss (Sun May  5 19:36:48 2024) ================
(epoch: 1, iters: 1200, time: 0.010, data: 0.692) D_A: 0.893 G_A: 2.772 cycle_A: 1.558 idt_A: 1.668 D_B: 0.127 G_B: 0.731 cycle_B: 2.955 idt_B: 0.708 
(epoch: 2, iters: 576, time: 0.010, data: 0.001) D_A: 0.188 G_A: 0.473 cycle_A: 0.937 idt_A: 0.911 D_B: 0.194 G_B: 0.428 cycle_B: 1.908 idt_B: 0.453 
(epoch: 2, iters: 1776, time: 0.010, data: 0.002) D_A: 0.211 G_A: 0.685 cycle_A: 1.017 idt_A: 0.921 D_B: 0.253 G_B: 0.286 cycle_B: 2.117 idt_B: 0.417 
(epoch: 3, iters: 1152, time: 0.010, data: 0.002) D_A: 0.312 G_A: 0.644 cycle_A: 0.769 idt_A: 0.809 D_B: 0.269 G_B: 0.226 cycle_B: 1.811 idt_B: 0.367 
(epoch: 4, iters: 528, time: 0.010, data: 0.002) D_A: 0.200 G_A: 0.701 cycle_A: 1.050 idt_A: 0.751 D_B: 0.193 G_B: 0.347 cycle_B: 1.724 idt_B: 0.497 
(epoch: 4, iters: 1728, time: 0.010, data: 0.002) D_A: 0.244 G_A: 0.391 cycle_A: 0.752 idt_A: 0.685 D_B: 0.367 G_B: 0.691 cycle_B: 1.554 idt_B: 0.347 
(epoch: 5, iters: 1104, time: 0.012, data: 0.002) D_A: 0.326 G_A: 0.413 cycle_A: 0.754 idt_A: 0.612 D_B: 0.334 G_B: 0.755 cycle_B: 1.424 idt_B: 0.323 
(epoch: 6, iters: 480, time: 0.010, data: 0.001) D_A: 0.329 G_A: 0.528 cycle_A: 0.749 idt_A: 0.601 D_B: 0.333 G_B: 0.207 cycle_B: 1.410 idt_B: 0.375 
(epoch: 6, iters: 1680, time: 0.010, data: 0.002) D_A: 0.227 G_A: 0.330 cycle_A: 0.713 idt_A: 0.546 D_B: 0.249 G_B: 0.333 cycle_B: 1.276 idt_B: 0.314 
(epoch: 7, iters: 1056, time: 0.010, data: 0.002) D_A: 0.310 G_A: 0.227 cycle_A: 0.482 idt_A: 0.522 D_B: 0.227 G_B: 0.391 cycle_B: 1.121 idt_B: 0.222 
(epoch: 8, iters: 432, time: 0.010, data: 0.002) D_A: 0.187 G_A: 0.439 cycle_A: 0.602 idt_A: 0.537 D_B: 0.295 G_B: 0.144 cycle_B: 1.231 idt_B: 0.266 
(epoch: 8, iters: 1632, time: 0.010, data: 0.002) D_A: 0.150 G_A: 0.487 cycle_A: 0.630 idt_A: 0.570 D_B: 0.184 G_B: 0.650 cycle_B: 1.268 idt_B: 0.321 
(epoch: 9, iters: 1008, time: 0.010, data: 0.002) D_A: 0.322 G_A: 0.397 cycle_A: 0.546 idt_A: 0.517 D_B: 0.199 G_B: 0.385 cycle_B: 1.204 idt_B: 0.265 
(epoch: 10, iters: 384, time: 0.010, data: 0.001) D_A: 0.234 G_A: 0.306 cycle_A: 0.615 idt_A: 0.470 D_B: 0.354 G_B: 0.086 cycle_B: 1.086 idt_B: 0.305 
(epoch: 10, iters: 1584, time: 0.010, data: 0.002) D_A: 0.260 G_A: 0.423 cycle_A: 0.546 idt_A: 0.543 D_B: 0.325 G_B: 0.281 cycle_B: 1.295 idt_B: 0.242 
(epoch: 11, iters: 960, time: 0.010, data: 0.002) D_A: 0.223 G_A: 0.321 cycle_A: 0.508 idt_A: 0.501 D_B: 0.340 G_B: 0.691 cycle_B: 1.103 idt_B: 0.235 
(epoch: 12, iters: 336, time: 0.010, data: 0.002) D_A: 0.249 G_A: 0.416 cycle_A: 0.583 idt_A: 0.433 D_B: 0.234 G_B: 0.524 cycle_B: 1.011 idt_B: 0.264 
(epoch: 12, iters: 1536, time: 0.010, data: 0.000) D_A: 0.416 G_A: 0.458 cycle_A: 0.460 idt_A: 0.454 D_B: 0.286 G_B: 0.431 cycle_B: 1.030 idt_B: 0.204 
(epoch: 13, iters: 912, time: 0.010, data: 0.001) D_A: 0.311 G_A: 0.211 cycle_A: 0.464 idt_A: 0.488 D_B: 0.227 G_B: 0.313 cycle_B: 1.110 idt_B: 0.214 
(epoch: 14, iters: 288, time: 0.010, data: 0.001) D_A: 0.204 G_A: 0.301 cycle_A: 0.471 idt_A: 0.445 D_B: 0.463 G_B: 0.839 cycle_B: 1.067 idt_B: 0.206 
(epoch: 14, iters: 1488, time: 0.010, data: 0.002) D_A: 0.213 G_A: 0.551 cycle_A: 0.612 idt_A: 0.493 D_B: 0.187 G_B: 0.322 cycle_B: 1.196 idt_B: 0.255 
(epoch: 15, iters: 864, time: 0.010, data: 0.001) D_A: 0.345 G_A: 0.469 cycle_A: 0.481 idt_A: 0.407 D_B: 0.243 G_B: 0.381 cycle_B: 1.001 idt_B: 0.207 
(epoch: 16, iters: 240, time: 0.010, data: 0.002) D_A: 0.267 G_A: 0.544 cycle_A: 0.466 idt_A: 0.411 D_B: 0.231 G_B: 0.325 cycle_B: 0.965 idt_B: 0.211 
(epoch: 16, iters: 1440, time: 0.010, data: 0.000) D_A: 0.205 G_A: 0.297 cycle_A: 0.571 idt_A: 0.429 D_B: 0.224 G_B: 0.259 cycle_B: 1.054 idt_B: 0.234 
